fold,subjects,accuracy,macro_f1,W_f1,N1_f1,N2_f1,N3_f1,REM_f1
1,14,0.8688979145512771,0.701283178177418,0.967732515695722,0.329064919594997,0.7960754982621321,0.8447577092511013,0.5687852480831379
2,14,0.870787838529774,0.6759744074701908,0.9697278980995734,0.3286467486818981,0.7959661896393003,0.7157453497511135,0.5697858511790684
3,14,0.8752297432127291,0.6884536646085979,0.970708080264473,0.3677476941386492,0.8130156983878475,0.7708133315045947,0.5199835187474248
4,13,0.8447091570267722,0.6731615503566044,0.9416547160649962,0.3143383966985688,0.8447307709049754,0.7156993848622626,0.5493844832522187
5,13,0.8675332758108548,0.7152043519688309,0.9642664751301849,0.4259028642590286,0.7709365647843791,0.8172503440893103,0.5976655115812511
