Class,Precision,Recall,F1-Score,Support
W,0.9897,0.9538,0.9714,18807
N1,0.3641,0.6427,0.4649,1657
N2,0.8419,0.7643,0.8013,4655
N3,0.8300,0.6983,0.7585,832
REM,0.7436,0.7320,0.7377,1541
