Metric,Value
Accuracy,0.945172
Macro_F1,0.835356
Weighted_F1,0.945687
Cohens_Kappa,0.893211
F1_W,0.990904
F1_N1,0.550725
F1_N2,0.916147
F1_N3,0.907193
F1_REM,0.811813
Test_Epochs,27577
Test_Subjects,10
